T,o,h,l,c,v
1768827599999,93151,93196,92972,93036,337.20306
1768831199999,93036,93117,92788,92981,369.53126
1768834799999,92982,92996,92670,92778,740.47556
1768838399999,92778,93033,92777,93010,535.1898
1768841999999,93009,93384,92946,93260,739.35945
1768845599999,93268,93341,93108,93199,426.80715
1768849199999,93199,93219,92879,93011,808.54654
1768852799999,93010,93118,92956,93065,256.76738
1768856399999,93064,93242,93060,93099,386.71644
1768859999999,93099,93331,92952,92952,1360.86467
1768863599999,92953,93013,92497,92497,1741.28486
1768867199999,92498,92700,92075,92581,2738.00887
1768870799999,92582,92821,92307,92671,688.4365
1768874399999,92671,92814,92479,92664,705.76596
1768877999999,92664,92676,92294,92500,1268.2859
1768881599999,92500,92595,92200,92379,758.65251
1768885199999,92379,92424,91932,92007,1095.60352
1768888799999,92007,92012,91217,91561,3745.77108
1768892399999,91561,91572,90688,90869,5399.73016
1768895999999,90868,91247,90798,91122,1191.10877
1768899599999,91122,91186,90622,91049,1731.7813
1768903199999,91048,91049,90831,90980,708.07978
1768906799999,90980,91231,90942,91208,648.50211
1768910399999,91208,91376,91161,91162,747.96739
1768913999999,91162,91250,91000,91222,773.49698
1768917599999,91222,91228,90724,90894,1931.18412
1768921199999,90894,91309,90159,90478,4731.12096
1768924799999,90479,90758,89797,90633,4500.50806
1768928399999,90633,90924,89970,90122,2539.31181
1768931999999,90123,90455,89389,89746,4294.0657
1768935599999,89746,89933,89353,89457,2421.41654
1768939199999,89457,89763,89260,89704,1720.16484
1768942799999,89703,89838,89390,89701,1339.61519
1768946399999,89702,89828,89411,89469,544.4637
1768949999999,89469,89632,87804,88496,4826.74085
1768953599999,88496,88500,87844,88404,2653.93185
1768957199999,88403,88962,88214,88907,1100.60322
1768960799999,88906,89131,88825,88992,437.58828
1768964399999,88992,89341,88957,89009,964.17348
1768967999999,89010,89581,89008,89395,743.28881
1768971599999,89395,89596,89309,89410,490.44131
1768975199999,89409,90107,89400,89919,804.8604
1768978799999,89919,89919,89448,89602,712.48
