T,o,h,l,c,v
1767715199999,3276.5,3301,3260.8,3271.4,46697.816
1767718799999,3271.4,3278,3233.6,3250.8,28722.349
1767722399999,3250.5,3259.1,3189.9,3195.8,39716.594
1767725999999,3195.8,3232.2,3183.1,3218.2,31119.7964
1767729599999,3218.1,3229.1,3212.6,3223.4,15433.602
1767733199999,3223.1,3249.9,3222.7,3240.9,17598.6002
1767736799999,3240.9,3300,3237.5,3275.5,31920.8492
1767740399999,3275.5,3289.1,3265,3277,16985.667
1767743999999,3277,3300,3275.4,3295.9,10527.6155
1767747599999,3295.9,3296.1,3255.2,3257,18256.7257
1767751199999,3257,3271,3238.4,3244.2,24203.0153
1767754799999,3244.1,3273,3239.3,3269.4,9133.8346
1767758399999,3269.4,3281.4,3264.3,3265.5,5963.5719
1767761999999,3265.6,3270.4,3253.2,3255.2,7052.9043
1767765599999,3254.8,3261.3,3245.6,3247.4,6430.1951
1767769199999,3247.4,3259,3246.8,3250.4,5228.4354
1767772799999,3250.4,3262.1,3250,3254.4,1875.4683
1767776399999,3254.3,3262.7,3252,3253.6,1961.0868
1767779999999,3253.7,3254.1,3198,3198.8,27882.694
1767783599999,3198.9,3221.6,3195.2,3217.7,8820.2629
1767787199999,3217.8,3227,3216.5,3220,8059.7651
1767790799999,3220.1,3221.6,3210.7,3212.3,6890.4817
1767794399999,3212.4,3228,3202,3211.2,9805.3442
1767797999999,3211.2,3211.2,3168.3,3191.1,44991.5681
1767801599999,3191.1,3192.1,3144.5,3164,55159.2874
1767805199999,3164,3178.2,3150.6,3156.1,24777.03
1767808799999,3156.5,3170.5,3145.7,3151.3,10006.9965
1767812399999,3151.3,3164.4,3134.5,3145.8,25449.5762
1767815999999,3145.8,3154.7,3125,3145,23982.1241
1767819599999,3145.1,3150.7,3128,3138.9,8230.7718
1767823199999,3138.4,3152.3,3137.5,3149.5,6267.034
1767826799999,3149.3,3164.1,3143,3152.4,9426.985
1767830399999,3152.5,3180.5,3142.7,3167.7,18136.9858
1767833999999,3168,3174.6,3154.2,3169.5,10737.7373
1767837599999,3170,3180,3167.4,3174.4,7949.2766
1767841199999,3174.5,3182,3147.3,3158.4,19181.6243
1767844799999,3158.3,3165.6,3132.1,3141.4,11938.5954
1767848399999,3141.4,3157.4,3137.6,3152.8,8969.9557
1767851999999,3152.9,3160.1,3140.8,3142.1,3711.8833
1767855599999,3142.2,3145,3103,3104,22334.8968
1767859199999,3104.2,3131.4,3090.1,3126.9,31687.0498
1767862799999,3126.9,3135.5,3113.1,3115.7,15072.0667
1767866399999,3115.8,3122.7,3104.5,3111.4,13080.7338
1767869999999,3111.3,3132,3095,3127.2,21163.6578
1767873599999,3127.2,3130.5,3111.8,3120.2,10291.5073
1767877199999,3120.2,3120.5,3084.8,3094.1,14731.5917
1767880799999,3094.1,3101.6,3090.2,3095.8,7829.6222
1767884399999,3095.8,3095.8,3054.1,3077,77155.0067
1767887999999,3077,3113,3066.3,3106.1,96608.1602
1767891599999,3105.8,3124.7,3091.8,3123.8,38357.091
1767895199999,3123.8,3139.9,3111.4,3135.8,20566.3154
1767898799999,3135.9,3136.3,3116,3121,32227.3546
1767902399999,3121,3129.8,3106.3,3112.5,14941.4748
1767905999999,3112.4,3112.5,3090.3,3109.1,24478.4315
1767909599999,3108.8,3124.7,3108.7,3120.5,15935.5791
1767913199999,3120.4,3131.7,3109.2,3120.8,7928.6727
1767916799999,3120.8,3123.5,3107.2,3107.7,4816.298
1767920399999,3107.8,3119,3105.8,3117.1,4454.3822
1767923999999,3117,3148.2,3082.7,3106.8,20195.5711
1767927599999,3106.7,3127.4,3104.5,3110.6,9368.1303
1767931199999,3110.5,3122.5,3104.1,3120.7,10391.6537
1767934799999,3120.7,3125,3113.5,3117.9,6554.9713
1767938399999,3117.9,3122.2,3114.9,3119.8,5873.7449
1767941999999,3119.9,3126.5,3118.4,3124.3,1915.4157
1767945599999,3124.3,3124.5,3111.3,3111.8,3486.5682
1767949199999,3111.8,3115.9,3067.1,3082.9,79204.3536
1767952799999,3082.9,3101.9,3082.3,3092.8,44290.2624
